0	2011	Zero Energy Building – A review of definitions and calculation methodologies	A J Marszal, P Heiselberg, J S Bourrelle, E Musall, K Voss, I Sartori
0	2011	Zero energy buildings and mismatch compensation factors	H Lund, A Marszal, P Heiselberg
1	2012	Zero-bias 40Gbit/s germanium waveguide photodetector on silicon.	Laurent Vivien, Andreas Polzer, Delphine Marris-Morini, Johann Osmond, Jean Michel Hartmann, Paul Crozat
2	2011	ZeroN : Mid-Air Tangible Interaction Enabled by Computer Controlled Magnetic Levitation	Jinha Lee, Rehmi Post, Hiroshi Ishii
3	2011	ZigBee based wireless sensor networks for service robot intelligent space	Baoye Song, Guohui Tian, Guodong Li, Fengyu Zhou, Dongxu Liu
3	2011	Zigzag graphene nanoribbon edge reconstruction with Stone-Wales defects	J N B Rodrigues, P A D Gonçalves, N F G Rodrigues, R M Ribeiro, J M B Lopes Dos Santos, N M R Peres
3	2011	Zigzag graphene nanoribbons without inversion symmetry	Lihua Pan, Jin An, Yong-Jun Liu, Chang-De Gong
3	2011	Zinc blende and wurtzite crystal phase mixing and transition in indium phosphide nanowires.	Keitaro Ikejiri, Yusuke Kitauchi, Katsuhiro Tomioka, Junichi Motohisa, Takashi Fukui
5	2011	Zipping and unzipping of nanoscale carbon structures	Julia Berashevich, Tapash Chakraborty
5	2011	Zipping up: cooperativity drives the synthesis of graphene nanoribbons.	Jonas Björk, Sven Stafström, Felix Hanke
5	2011	Zirconium as a Boron Sink in Crystalline CoFeB/MgO/CoFeB Magnetic Tunnel Junctions	Aidan T Hindmarch, Viyada Harnchana, Alex S Walton, Andrew P Brown, Rik M D Brydson, Christopher H Marrows
5	2011	Zitterbewegung (trembling motion) of electrons in semiconductors: a review.	Wlodek Zawadzki, Tomasz M Rusin
5	2011	ZNF804A risk allele is associated with relatively intact gray matter volume in patients with schizophrenia.	Gary Donohoe, Emma Rose, Thomas Frodl, Derek Morris, Ilaria Spoletini, Fulvia Adriano
5	2011	ZnO and ε-Zn(OH) 2 Composite Nanoparticles by Pulsed Laser Ablation on Zn in Water	B C Lin, P Shen, S Y Chen
5	2011	ZnO decorated luminescent graphene as a potential gas sensor at room temperature	Gaurav Singh, Ansul Choudhary, D Haranath, Amish G Joshi, Nahar Singh, Sukhvir Singh
6	2011	ZnO nanorod/CdS nanocrystal core/shell-type heterostructures for solar cell applications.	Gariné Guerguerian, Fernando Elhordoy, Carlos J Pereyra, Ricardo E Marotti, Francisco Martín, Dietmar Leinen
6	2011	ZnO nanorods-enhanced fluorescence for sensitive microarray detection of cancers in serum without additional reporter-amplification.	Weihua Hu, Yingshuai Liu, Hongbin Yang, Xiaoqun Zhou, Chang Ming Li
7	2011	ZnO Schottky barriers and Ohmic contacts	Leonard J Brillson, Yicheng Lu
7	2011	ZnO thin film transistors by low temperature deposition plasma-enhanced atomic layer deposition in a showerhead reactor	J Israel Ramirez, Yuanyuan V Li, Dalong A Zhao, Thomas N Jackson
7	2011	ZnO, GaN, and InN Functionalized Nanowires for Sensing and Photonics Applications	S J Pearton, C Y Chang, B H Chu, Chien-Fong Lo, Fan Ren, Wenchao Chen
8	2011	ZnS nanostructures: From synthesis to applications	Xiaosheng Fang, Tianyou Zhai, Ujjal K Gautam, Liang Li, Limin Wu, Yoshio Bando
10	2011	ZZ and the Art of Practical BFT Execution	Timothy Wood, Rahul Singh, Arun Venkataramani, Prashant Shenoy, Emmanuel Cecchet
